Name of Earth Meteorite,id,nametype,recclass,mass,year,reclat,reclong,point coordinates
Aachen,1,Valid,L5,21.0,1880-01-01,50.775,6.08333,"[50.775, 6.08333]"
Aarhus,2,Valid,H6,720.0,1951-01-01,56.18333,10.23333,"[56.18333, 10.23333]"
Abee,6,Valid,EH4,107000.0,1952-01-01,54.21667,-113.0,"[54.21667, -113.0]"
Acapulco,10,Valid,Acapulcoite,1914.0,1976-01-01,16.88333,-99.9,"[16.88333, -99.9]"
Achiras,370,Valid,L6,780.0,1902-01-01,-33.16667,-64.95,"[-33.16667, -64.95]"
Adhi Kot,379,Valid,EH4,4239.0,1919-01-01,32.1,71.8,"[32.1, 71.8]"
Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,1949-01-01,44.83333,95.16667,"[44.83333, 95.16667]"
Agen,392,Valid,H5,30000.0,1814-01-01,44.21667,0.61667,"[44.21667, 0.61667]"
Aguada,398,Valid,L6,1620.0,1930-01-01,-31.6,-65.23333,"[-31.6, -65.23333]"
Aguila Blanca,417,Valid,L,1440.0,1920-01-01,-30.86667,-64.55,"[-30.86667, -64.55]"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,1974-01-01,16.39806,-9.57028,"[16.39806, -9.57028]"
Aïr,424,Valid,L6,24000.0,1925-01-01,19.08333,8.38333,"[19.08333, 8.38333]"
Aire-sur-la-Lys,425,Valid,Unknown,,1769-01-01,50.66667,2.33333,"[50.66667, 2.33333]"
Akaba,426,Valid,L6,779.0,1949-01-01,29.51667,35.05,"[29.51667, 35.05]"
Akbarpur,427,Valid,H4,1800.0,1838-01-01,29.71667,77.95,"[29.71667, 77.95]"
Akwanga,432,Valid,H,3000.0,1959-01-01,8.91667,8.43333,"[8.91667, 8.43333]"
Akyumak,433,Valid,"Iron, IVA",50000.0,1981-01-01,39.91667,42.81667,"[39.91667, 42.81667]"
Al Rais,446,Valid,CR2-an,160.0,1957-01-01,24.41667,39.51667,"[24.41667, 39.51667]"
Al Zarnkh,447,Valid,LL5,700.0,2001-01-01,13.66033,28.96,"[13.66033, 28.96]"
Alais,448,Valid,CI1,6000.0,1806-01-01,44.11667,4.08333,"[44.11667, 4.08333]"
Albareto,453,Valid,L/LL4,2000.0,1766-01-01,44.65,11.01667,"[44.65, 11.01667]"
Alberta,454,Valid,L,625.0,1949-01-01,2.0,22.66667,"[2.0, 22.66667]"
Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,2002-01-01,45.82133,6.01533,"[45.82133, 6.01533]"
Aldsworth,461,Valid,LL5,700.0,1835-01-01,51.78333,-1.78333,"[51.78333, -1.78333]"
Aleppo,462,Valid,L6,3200.0,1873-01-01,36.23333,37.13333,"[36.23333, 37.13333]"
Alessandria,463,Valid,H5,908.0,1860-01-01,44.88333,8.75,"[44.88333, 8.75]"
Alexandrovsky,465,Valid,H4,9251.0,1900-01-01,50.95,31.81667,"[50.95, 31.81667]"
Alfianello,466,Valid,L6,228000.0,1883-01-01,45.26667,10.15,"[45.26667, 10.15]"
Allegan,2276,Valid,H5,32000.0,1899-01-01,42.53333,-85.88333,"[42.53333, -85.88333]"
Allende,2278,Valid,CV3,2000000.0,1969-01-01,26.96667,-105.31667,"[26.96667, -105.31667]"
Almahata Sitta,48915,Valid,Ureilite-an,3950.0,2008-01-01,20.74575,32.41275,"[20.74575, 32.41275]"
Alta'ameem,2284,Valid,LL5,6000.0,1977-01-01,35.27333,44.21556,"[35.27333, 44.21556]"
Ambapur Nagla,2290,Valid,H5,6400.0,1895-01-01,27.66667,78.25,"[27.66667, 78.25]"
Andhara,2294,Valid,Stone-uncl,2700.0,1880-01-01,26.58333,85.56667,"[26.58333, 85.56667]"
Andover,2295,Valid,L6,3200.0,1898-01-01,44.61667,-70.75,"[44.61667, -70.75]"
Andreevka,2296,Valid,L3,600.0,1969-01-01,48.7,37.5,"[48.7, 37.5]"
Andura,2298,Valid,H6,17900.0,1939-01-01,20.88333,76.86667,"[20.88333, 76.86667]"
Northwest Africa 5815,50693,Valid,L5,256.8,,0.0,0.0,"[0.0, 0.0]"
Angers,2301,Valid,L6,,1822-01-01,47.46667,-0.55,"[47.46667, -0.55]"
Angra dos Reis (stone),2302,Valid,Angrite,1500.0,1869-01-01,-22.96667,-44.31667,"[-22.96667, -44.31667]"
Ankober,2304,Valid,H4,6500.0,1942-01-01,9.53333,39.71667,"[9.53333, 39.71667]"
Anlong,2305,Valid,H5,2500.0,1971-01-01,25.15,105.18333,"[25.15, 105.18333]"
Aomori,2313,Valid,L6,320.0,1984-01-01,40.81056,140.78556,"[40.81056, 140.78556]"
Appley Bridge,2318,Valid,LL6,15000.0,1914-01-01,53.58333,-2.71667,"[53.58333, -2.71667]"
Apt,2320,Valid,L6,3200.0,1803-01-01,43.86667,5.38333,"[43.86667, 5.38333]"
Arbol Solo,2325,Valid,H5,810.0,1954-01-01,-33.0,-66.0,"[-33.0, -66.0]"
Archie,2329,Valid,H6,5070.0,1932-01-01,38.5,-94.3,"[38.5, -94.3]"
Arroyo Aguiar,2340,Valid,H5,7450.0,1950-01-01,-31.41667,-60.66667,"[-31.41667, -60.66667]"
Asco,2345,Valid,H6,41.0,1805-01-01,42.45,9.03333,"[42.45, 9.03333]"
Ash Creek,48954,Valid,L6,9500.0,2009-01-01,31.805,-97.01,"[31.805, -97.01]"
Ashdon,2346,Valid,L6,1300.0,1923-01-01,52.05,0.3,"[52.05, 0.3]"
Assisi,2353,Valid,H5,2000.0,1886-01-01,43.03333,12.55,"[43.03333, 12.55]"
Atarra,4883,Valid,L4,1280.0,1920-01-01,25.25417,80.625,"[25.25417, 80.625]"
Atemajac,4884,Valid,L6,94.2,1896-01-01,20.06667,-103.66667,"[20.06667, -103.66667]"
Athens,4885,Valid,LL6,265.0,1933-01-01,34.75,-87.0,"[34.75, -87.0]"
Atoka,4888,Valid,L6,1384.2,1945-01-01,34.31667,-96.15,"[34.31667, -96.15]"
Aubres,4893,Valid,Aubrite,800.0,1836-01-01,44.38333,5.16667,"[44.38333, 5.16667]"
Aumale,4899,Valid,L6,50000.0,1865-01-01,36.16667,3.66667,"[36.16667, 3.66667]"
Aumieres,4900,Valid,L6,2000.0,1842-01-01,44.33333,3.23333,"[44.33333, 3.23333]"
Ausson,4903,Valid,L5,50000.0,1858-01-01,43.08333,0.58333,"[43.08333, 0.58333]"
Avanhandava,4905,Valid,H4,9330.0,1952-01-01,-21.46028,-49.95083,"[-21.46028, -49.95083]"
Avce,4906,Valid,"Iron, IIAB",1230.0,1908-01-01,46.0,13.5,"[46.0, 13.5]"
Avilez,4907,Valid,H,146.0,1855-01-01,25.0,-103.5,"[25.0, -103.5]"
Awere,4910,Valid,L4,134.0,1968-01-01,2.71667,32.83333,"[2.71667, 32.83333]"
Aztec,4913,Valid,L6,2830.0,1938-01-01,36.8,-108.0,"[36.8, -108.0]"
Bachmut,4917,Valid,L6,18000.0,1814-01-01,48.6,38.0,"[48.6, 38.0]"
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322.0,1934-01-01,28.48333,78.5,"[28.48333, 78.5]"
Bald Mountain,4925,Valid,L4,3700.0,1929-01-01,35.96667,-82.48333,"[35.96667, -82.48333]"
Baldwyn,4926,Valid,L6,345.0,1922-01-01,34.5,-88.66667,"[34.5, -88.66667]"
Bali,4928,Valid,CV3,1000.0,1907-01-01,5.38333,16.38333,"[5.38333, 16.38333]"
Ban Rong Du,4934,Valid,"Iron, ungrouped",16700.0,1993-01-01,16.66667,101.18333,"[16.66667, 101.18333]"
Bandong,4935,Valid,LL6,11500.0,1871-01-01,-6.91667,107.6,"[-6.91667, 107.6]"
Bansur,4936,Valid,L6,15000.0,1892-01-01,27.7,76.33333,"[27.7, 76.33333]"
Banswal,4937,Valid,L5,14.0,1913-01-01,30.4,78.2,"[30.4, 78.2]"
Banten,4938,Valid,CM2,629.0,1933-01-01,-6.33333,106.0,"[-6.33333, 106.0]"
Barbotan,4942,Valid,H5,6400.0,1790-01-01,43.95,-0.05,"[43.95, -0.05]"
Barcelona (stone),4944,Valid,OC,,1704-01-01,41.36667,2.16667,"[41.36667, 2.16667]"
Barea,4946,Valid,Mesosiderite-A1,3200.0,1842-01-01,42.38333,-2.5,"[42.38333, -2.5]"
Barnaul,4947,Valid,H5,23.2,1904-01-01,52.73333,84.08333,"[52.73333, 84.08333]"
Barntrup,4948,Valid,LL4,17.0,1886-01-01,52.0,9.1,"[52.0, 9.1]"
Baroti,4949,Valid,L6,4500.0,1910-01-01,31.61667,76.8,"[31.61667, 76.8]"
Barwell,4954,Valid,L5,44000.0,1965-01-01,52.56528,-1.33972,"[52.56528, -1.33972]"
Bassikounou,44876,Valid,H5,29560.0,2006-01-01,15.78333,-5.9,"[15.78333, -5.9]"
Baszkówka,4957,Valid,L5,15500.0,1994-01-01,52.03333,20.93583,"[52.03333, 20.93583]"
Bath,4974,Valid,H4,21000.0,1892-01-01,45.41667,-98.31667,"[45.41667, -98.31667]"
Bath Furnace,4975,Valid,L6,86000.0,1902-01-01,38.25,-83.75,"[38.25, -83.75]"
Battle Mountain,56133,Valid,L6,2900.0,2012-01-01,40.66813,-117.18913,"[40.66813, -117.18913]"
Bawku,4976,Valid,LL5,1557.0,1989-01-01,11.08333,-0.18333,"[11.08333, -0.18333]"
Baxter,4977,Valid,L6,611.0,1916-01-01,36.75,-93.5,"[36.75, -93.5]"
Beardsley,4984,Valid,H5,16000.0,1929-01-01,39.8,-101.2,"[39.8, -101.2]"
Beaver Creek,4986,Valid,H5,14000.0,1893-01-01,51.16667,-117.33333,"[51.16667, -117.33333]"
Beddgelert,4993,Valid,H5,794.0,1949-01-01,53.01667,-4.1,"[53.01667, -4.1]"
Bells,5005,Valid,C2-ung,375.0,1961-01-01,33.6,-96.46667,"[33.6, -96.46667]"
Belville,5009,Valid,OC,,1937-01-01,-32.33333,-64.86667,"[-32.33333, -64.86667]"
Benares (a),5011,Valid,LL4,3700.0,1798-01-01,25.36667,82.91667,"[25.36667, 82.91667]"
Benguerir,30443,Valid,LL6,25000.0,2004-01-01,32.25,-8.15,"[32.25, -8.15]"
Beni M'hira,5018,Valid,L6,19000.0,2001-01-01,32.86667,10.8,"[32.86667, 10.8]"
Benld,5021,Valid,H6,1770.5,1938-01-01,39.08333,-89.15,"[39.08333, -89.15]"
Benoni,5023,Valid,H6,3880.0,1943-01-01,-26.16667,28.41667,"[-26.16667, 28.41667]"
Bensour,5024,Valid,LL6,45000.0,2002-01-01,30.0,-7.0,"[30.0, -7.0]"
Benton,5026,Valid,LL6,2840.0,1949-01-01,45.95,-67.55,"[45.95, -67.55]"
Berduc,48975,Valid,L6,270.0,2008-01-01,-31.91,-58.32833,"[-31.91, -58.32833]"
Béréba,5028,Valid,Eucrite-mmict,18000.0,1924-01-01,11.65,-3.65,"[11.65, -3.65]"
Berlanguillas,5029,Valid,L6,1440.0,1811-01-01,41.68333,-3.8,"[41.68333, -3.8]"
Berthoud,47355,Valid,Eucrite-mmict,960.0,2004-01-01,40.30583,-105.02325,"[40.30583, -105.02325]"
Bethlehem,5032,Valid,H,13.9,1859-01-01,42.53333,-73.83333,"[42.53333, -73.83333]"
Beuste,5034,Valid,L5,2000.0,1859-01-01,43.21667,-0.23333,"[43.21667, -0.23333]"
Beyrout,5035,Valid,LL3.8,1100.0,1921-01-01,33.88333,35.5,"[33.88333, 35.5]"
Bhagur,5037,Valid,L6,18.0,1877-01-01,20.88333,74.83333,"[20.88333, 74.83333]"
Bhawad,36591,Valid,LL6,678.0,2002-01-01,26.50833,73.11528,"[26.50833, 73.11528]"
Bherai,5039,Valid,L6,100.0,1893-01-01,20.83333,71.46667,"[20.83333, 71.46667]"
Bhola,5040,Valid,LL3-6,1047.0,1940-01-01,22.68333,90.65,"[22.68333, 90.65]"
Bholghati,5041,Valid,Howardite,2500.0,1905-01-01,22.08333,86.9,"[22.08333, 86.9]"
Bialystok,5042,Valid,Eucrite-pmict,4000.0,1827-01-01,53.1,23.2,"[53.1, 23.2]"
Bielokrynitschie,5043,Valid,H4,1900.0,1887-01-01,50.13333,27.16667,"[50.13333, 27.16667]"
Bilanga,5045,Valid,Diogenite,25000.0,1999-01-01,12.45,-0.08333,"[12.45, -0.08333]"
Binningup,5051,Valid,H5,488.1,1984-01-01,-33.15639,115.67639,"[-33.15639, 115.67639]"
Birni N'konni,5056,Valid,H4,560.0,1923-01-01,13.76667,5.3,"[13.76667, 5.3]"
Bishopville,5059,Valid,Aubrite,6000.0,1843-01-01,34.16667,-80.28333,"[34.16667, -80.28333]"
Bishunpur,5060,Valid,LL3.15,1039.0,1895-01-01,25.38333,82.6,"[25.38333, 82.6]"
Bjelaja Zerkov,5063,Valid,H6,1850.0,1796-01-01,49.78333,30.16667,"[49.78333, 30.16667]"
Bjurböle,5064,Valid,L/LL4,330000.0,1899-01-01,60.4,25.8,"[60.4, 25.8]"
Black Moshannan Park,5065,Valid,L5,705.0,1941-01-01,40.91667,-78.08333,"[40.91667, -78.08333]"
Blackwell,5068,Valid,L5,2381.0,1906-01-01,36.83333,-97.33333,"[36.83333, -97.33333]"
Blanket,5071,Valid,L6,5100.0,1909-01-01,31.83333,-98.83333,"[31.83333, -98.83333]"
Blansko,5072,Valid,H6,470.0,1833-01-01,49.36667,16.63333,"[49.36667, 16.63333]"
Bloomington,5076,Valid,LL6,67.8,1938-01-01,40.48,-89.00417,"[40.48, -89.00417]"
Bo Xian,5090,Valid,LL3.9,7500.0,1977-01-01,33.83333,115.83333,"[33.83333, 115.83333]"
Bocas,5093,Valid,L6,56.0,1804-01-01,23.0,-102.0,"[23.0, -102.0]"
Bogou,5097,Valid,"Iron, IAB-MG",8800.0,1962-01-01,12.5,0.7,"[12.5, 0.7]"
Boguslavka,5098,Valid,"Iron, IIAB",256000.0,1916-01-01,44.55,131.63333,"[44.55, 131.63333]"
Borgo San Donino,5110,Valid,LL6,1676.0,1808-01-01,44.86667,10.05,"[44.86667, 10.05]"
Bori,5111,Valid,L6,8600.0,1894-01-01,21.95,78.03333,"[21.95, 78.03333]"
Boriskino,5112,Valid,CM2,1342.0,1930-01-01,54.23333,52.48333,"[54.23333, 52.48333]"
Borkut,5113,Valid,L5,7000.0,1852-01-01,48.15,24.28333,"[48.15, 24.28333]"
Borodino,5114,Valid,H5,500.0,1812-01-01,55.46667,35.86667,"[55.46667, 35.86667]"
Botschetschki,5117,Valid,L4,614.0,1823-01-01,51.33333,33.88333,"[51.33333, 33.88333]"
Boumdeid (2003),57168,Valid,L6,190.0,2003-01-01,17.71067,-11.3715,"[17.71067, -11.3715]"
Boumdeid (2011),57167,Valid,L6,3599.0,2011-01-01,17.17493,-11.34133,"[17.17493, -11.34133]"
Bovedy,5121,Valid,L3,5460.0,1969-01-01,54.56667,-6.33333,"[54.56667, -6.33333]"
Bradford Woods,5128,Valid,L,762.0,1886-01-01,40.5,-80.08333,"[40.5, -80.08333]"
Braunau,5133,Valid,"Iron, IIAB",39000.0,1847-01-01,50.6,16.3,"[50.6, 16.3]"
Breitscheid,5134,Valid,H5,1500.0,1956-01-01,50.66694,8.18361,"[50.66694, 8.18361]"
Bremervörde,5135,Valid,H/L3.9,7250.0,1855-01-01,53.4,9.1,"[53.4, 9.1]"
Brient,5140,Valid,Eucrite-pmict,219.0,1933-01-01,52.13333,59.31667,"[52.13333, 59.31667]"
Bruderheim,5156,Valid,L6,303000.0,1960-01-01,53.9,-112.88333,"[53.9, -112.88333]"
Bukhara,30448,Valid,CV3,5300.0,2001-01-01,39.77978,64.60035,"[39.77978, 64.60035]"
Bulls Run,5163,Valid,Iron?,2250.0,1964-01-01,0.0,0.0,"[0.0, 0.0]"
Bunburra Rockhole,48653,Valid,Eucrite,324.0,2007-01-01,-31.35,129.19,"[-31.35, 129.19]"
Bununu,5165,Valid,Howardite,357.0,1942-01-01,10.01667,9.58333,"[10.01667, 9.58333]"
Bur-Gheluai,5169,Valid,H5,120000.0,1919-01-01,5.0,48.0,"[5.0, 48.0]"
Burnwell,5175,Valid,H4-an,1504.0,1990-01-01,37.62194,-82.23722,"[37.62194, -82.23722]"
Bursa,5177,Valid,L6,25000.0,1946-01-01,40.2,29.23333,"[40.2, 29.23333]"
Buschhof,5178,Valid,L6,5000.0,1863-01-01,46.45,25.78333,"[46.45, 25.78333]"
Bustee,5181,Valid,Aubrite,1500.0,1852-01-01,26.78333,82.83333,"[26.78333, 82.83333]"
Butsura,5183,Valid,H6,29000.0,1861-01-01,27.08333,84.08333,"[27.08333, 84.08333]"
Buzzard Coulee,48654,Valid,H4,41000.0,2008-01-01,52.996,-109.84817,"[52.996, -109.84817]"
Cabezo de Mayo,5185,Valid,L/LL6,25000.0,1870-01-01,37.98333,-1.16667,"[37.98333, -1.16667]"
Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,1886-01-01,35.5,-93.5,"[35.5, -93.5]"
Cacak,5187,Valid,OC,212.0,1919-01-01,43.83889,20.33333,"[43.83889, 20.33333]"
Cali,45976,Valid,H/L4,478.0,2007-01-01,3.405,-76.51,"[3.405, -76.51]"
Calivo,5200,Valid,Stone-uncl,2400.0,1916-01-01,11.75,122.33333,"[11.75, 122.33333]"
Campos Sales,5249,Valid,L5,23680.0,1991-01-01,-7.03333,-40.16667,"[-7.03333, -40.16667]"
Çanakkale,5250,Valid,L6,4000.0,1964-01-01,39.8,26.6,"[39.8, 26.6]"
Cañellas,5251,Valid,H4,945.0,1861-01-01,41.25,1.66667,"[41.25, 1.66667]"
Cangas de Onis,5252,Valid,H5,34000.0,1866-01-01,43.38333,-5.15,"[43.38333, -5.15]"
Canon City,5253,Valid,H6,1400.0,1973-01-01,38.47028,-105.24139,"[38.47028, -105.24139]"
Cape Girardeau,5260,Valid,H6,2300.0,1846-01-01,37.26667,-89.58333,"[37.26667, -89.58333]"
Capilla del Monte,5264,Valid,H6,750.0,1934-01-01,-30.88333,-64.55,"[-30.88333, -64.55]"
Carancas,45817,Valid,H4-5,342.0,2007-01-01,-16.66444,-69.04389,"[-16.66444, -69.04389]"
Caratash,5265,Valid,LL6,8.0,1902-01-01,38.5,27.0,"[38.5, 27.0]"
Castalia,5291,Valid,H5,7300.0,1874-01-01,36.08333,-78.06667,"[36.08333, -78.06667]"
Castel Berardenga,5292,Valid,Stone-uncl,,1791-01-01,43.35,11.5,"[43.35, 11.5]"
Castine,5293,Valid,L6,94.0,1848-01-01,44.38333,-68.75,"[44.38333, -68.75]"
Castrovillari,5295,Valid,Stone-uncl,15000.0,1583-01-01,39.8,16.2,"[39.8, 16.2]"
Caswell County,5296,Valid,OC,1360.0,1810-01-01,36.5,-79.25,"[36.5, -79.25]"
Ceniceros,5306,Valid,L3.7,1025.0,1988-01-01,26.46667,-105.23333,"[26.46667, -105.23333]"
Centerville,5307,Valid,H5,45.6,1956-01-01,43.2,-96.91667,"[43.2, -96.91667]"
Cereseto,5308,Valid,H5,6460.0,1840-01-01,45.08333,8.3,"[45.08333, 8.3]"
Chadong,5313,Valid,L6,3700.0,1998-01-01,28.53333,109.31667,"[28.53333, 109.31667]"
Chail,5314,Valid,H6,0.5,1814-01-01,25.36667,81.66667,"[25.36667, 81.66667]"
Chainpur,5315,Valid,LL3.4,8200.0,1907-01-01,25.85,83.48333,"[25.85, 83.48333]"
Chajari,5316,Valid,L5,18300.0,1933-01-01,-30.78333,-58.05,"[-30.78333, -58.05]"
Chandakapur,5320,Valid,L5,8800.0,1838-01-01,20.26667,76.01667,"[20.26667, 76.01667]"
Chandpur,5321,Valid,L6,1100.0,1885-01-01,27.28333,79.05,"[27.28333, 79.05]"
Changde,5322,Valid,H5,1810.0,1977-01-01,29.08333,111.75,"[29.08333, 111.75]"
Chantonnay,5325,Valid,L6,31500.0,1812-01-01,46.68333,1.05,"[46.68333, 1.05]"
Charlotte,5328,Valid,"Iron, IVA",4300.0,1835-01-01,36.16667,-87.33333,"[36.16667, -87.33333]"
Charsonville,5329,Valid,H6,27000.0,1810-01-01,47.93333,1.56667,"[47.93333, 1.56667]"
Charwallas,5330,Valid,H6,12000.0,1834-01-01,29.48333,75.5,"[29.48333, 75.5]"
Chassigny,5331,Valid,Martian (chassignite),4000.0,1815-01-01,47.71667,5.36667,"[47.71667, 5.36667]"
Château-Renard,5332,Valid,L6,30000.0,1841-01-01,47.93333,2.91667,"[47.93333, 2.91667]"
Chaves,5334,Valid,Howardite,2945.0,1925-01-01,41.93333,-7.46667,"[41.93333, -7.46667]"
Chela,5338,Valid,H4,2936.0,1988-01-01,-3.66667,32.5,"[-3.66667, 32.5]"
Chelyabinsk,57165,Valid,LL5,100000.0,2013-01-01,54.81667,61.11667,"[54.81667, 61.11667]"
Chergach ,47347,Valid,H5,100000.0,2007-01-01,23.69639,-5.01472,"[23.69639, -5.01472]"
Chernyi Bor,5339,Valid,H4,6000.0,1964-01-01,53.7,30.1,"[53.7, 30.1]"
Cherokee Springs,5340,Valid,LL6,8400.0,1933-01-01,35.03333,-81.88333,"[35.03333, -81.88333]"
Chervettaz,5341,Valid,L5,705.0,1901-01-01,46.55,6.81667,"[46.55, 6.81667]"
